Date,BTC Price,NUPL,Young-NUPL,Old-NUPL,Euphoria (2-of-3),Euphoria (3-of-3),Max Pain
2021-09-20,42855.5103448276,0.5099447614220065,0.009254957419030761,0.682224528644689,0.0,0.0,0.0
2021-09-21,40526.4893760958,0.48273182547753996,-0.04515611392602513,0.6631038066659375,0.0,0.0,0.0
2021-09-22,43577.5724821742,0.5182915470255569,0.030329580415453,0.6857511967744019,0.0,0.0,0.0
2021-09-23,44861.2980329047,0.531683680239339,0.059913244349671387,0.6916493591011608,0.0,0.0,0.0
2021-09-24,42803.307701052,0.5095490261166151,0.01680415309270086,0.6762224523209129,0.0,0.0,0.0
2021-09-25,42735.2658240795,0.5087604082733014,0.01766251219142208,0.675239881339876,0.0,0.0,0.0
2021-09-26,43131.2941773816,0.5099311285815292,0.027467835414604822,0.676307185622976,0.0,0.0,0.0
2021-09-27,42496.7852250146,0.5025928750784125,0.013798105270926033,0.6709631110691809,0.0,0.0,0.0
2021-09-28,41223.7862743425,0.48762329507503477,-0.014122156760011365,0.6607509580287078,0.0,0.0,0.0
2021-09-29,41453.9470131502,0.49048879214188323,-0.006209991351044832,0.6607396638120211,0.0,0.0,0.0
2021-09-30,43781.546015488,0.5168765460662377,0.04853945472442974,0.6785926656171063,0.0,0.0,0.0
2021-10-01,48078.1315543542,0.5586267808696048,0.13390882730037923,0.7071032183503256,0.0,0.0,0.0
2021-10-02,47792.4391943308,0.5553008014721763,0.1301438835828608,0.7053151034469355,0.0,0.0,0.0
2021-10-03,48202.6229177089,0.5587711803954546,0.13751660625956635,0.7075001494406199,0.0,0.0,0.0
2021-10-04,49288.5013106371,0.5676316274451901,0.15582149024845451,0.7087679759314951,0.0,0.0,0.0
2021-10-05,51558.0493319112,0.5853796684750407,0.19287339278532498,0.7214879114692894,0.0,0.0,0.0
2021-10-06,55419.800411163,0.6113402104488778,0.24716591655218492,0.7405259511345427,0.0,0.0,0.0
2021-10-07,53805.1569125658,0.5983978822518372,0.22422863192853465,0.7327094497025567,0.0,0.0,0.0
2021-10-08,53933.5275908825,0.5987160176621993,0.22561412349669419,0.7317711144404065,0.0,0.0,0.0
2021-10-09,55010.9224751607,0.6060260022768786,0.24182582872765113,0.7363103662449968,0.0,0.0,0.0
